t,baseline,uav_xyz,coverage_tau_db,coverage_count,coverage_ratio,best_sinr_mean,best_sinr_min,best_sinr_max,load_var,per_uav_load_min,per_uav_load_mean,per_uav_load_max
17,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,41.0,0.2733333333333333,-67.77001953125,-120.00000762939453,82.57040405273438,1438.81640625,3.0,28.799999237060547,114.0
18,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,41.0,0.2733333333333333,-67.25181579589844,-120.00000762939453,83.71154022216797,1507.3878173828125,2.0,29.399999618530273,116.0
19,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,35.0,0.23333333333333334,-74.78407287597656,-120.00000762939453,83.4400634765625,1568.244873046875,2.0,29.600000381469727,118.0
20,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,34.0,0.22666666666666666,-77.22184753417969,-120.00000762939453,82.01846313476562,1600.244873046875,1.0,29.200000762939453,119.0
21,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,35.0,0.23333333333333334,-75.23567199707031,-120.00000762939453,83.30368041992188,1661.3876953125,2.0,29.0,121.0
22,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,38.0,0.25333333333333335,-71.63233947753906,-120.00000762939453,81.19686889648438,1569.3876953125,2.0,29.399999618530273,118.0
23,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,42.0,0.28,-66.24208068847656,-120.00000762939453,81.19686889648438,1387.1019287109375,5.0,29.799999237060547,112.0
24,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,32.0,0.21333333333333335,-77.44575500488281,-120.00000762939453,83.3895492553711,1661.9591064453125,3.0,29.399999618530273,121.0
25,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,43.0,0.2866666666666667,-64.86785888671875,-120.00000762939453,83.3152847290039,1349.6734619140625,3.0,28.799999237060547,111.0
26,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,39.0,0.26,-70.68118286132812,-120.00000762939453,81.05696868896484,1500.81640625,3.0,28.600000381469727,116.0
27,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,34.0,0.22666666666666666,-76.53704071044922,-120.00000762939453,83.36332702636719,1659.3876953125,2.0,28.799999237060547,121.0
28,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,34.0,0.22666666666666666,-77.35855102539062,-120.00000762939453,79.88673400878906,1530.244873046875,3.0,28.799999237060547,117.0
29,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,32.0,0.21333333333333335,-78.25210571289062,-120.00000762939453,81.84304809570312,1660.530517578125,2.0,28.799999237060547,121.0
30,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,32.0,0.21333333333333335,-78.816162109375,-120.00000762939453,80.98838806152344,1765.1019287109375,2.0,29.799999237060547,124.0
31,FixedUAVBaseline,"[[0.0, 0.0, 100.0], [500.0, 0.0, 100.0], [0.0, 500.0, 100.0], [-500.0, 0.0, 100.0], [0.0, -500.0, 100.0]]",5.0,29.0,0.19333333333333333,-83.26964569091797,-120.00000762939453,82.38607788085938,1766.816162109375,2.0,29.799999237060547,124.0
